Unnamed: 0,year,price,ranks,title,no_of_reviews,ratings,author
19,2014,22.33,20,The Goldfinch: A Novel (Pulitzer Prize for Fiction),"42,872",4.0,Donna Tartt
20,2014,144.99,21,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5","12,127",4.7,American Psychiatric Association
21,2014,9.67,22,Wonder,"35,740",4.8,R. J. Palacio
22,2014,9.9,23,The Book with No Pictures,"16,897",4.8,B. J. Novak
23,2014,9.99,24,Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),"5,034",4.9,Rush Limbaugh
24,2014,23.99,25,The 5 Love Languages: The Secret to Love That Lasts,"7,015",4.7,Gary Chapman
25,2014,4.44,26,Knock-Knock Jokes for Kids (Laugh-Out-Loud Jokes for Kids),"5,691",4.5,Rob Elliott
26,2014,,27,JOURNEY TO THE ICE P,"1,094",4.6,RH Disney
27,2014,23.48,28,"Publication Manual of the American Psychological Association, 6th Edition","12,677",4.5,American Psychological Association
28,2014,,29,Little Blue Truck,"1,959",4.9,Alice Schertle
29,2014,17.4,30,Make It Ahead: A Barefoot Contessa Cookbook,"2,227",4.6,Ina Garten
0,2015,4.78,1,First 100 Words: A Padded Board Book,"35,271",4.7,Roger Priddy
1,2015,8.32,2,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,
2,2015,4.99,3,Laugh-Out-Loud Jokes for Kids,"10,755",4.6,Rob Elliott
3,2015,9.99,4,Secret Garden: An Inky Treasure Hunt and Coloring Book for Adults,"15,029",4.7,Johanna Basford
4,2015,18.29,5,StrengthsFinder 2.0,Gallup,4.1,
5,2015,15.95,6,Go Set a Watchman: A Novel,"18,601",3.7,Harper Lee
6,2015,12.15,7,"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints)","8,116",4.7,Johanna Basford
7,2015,20.09,8,All the Light We Cannot See,"67,393",4.6,Anthony Doerr
8,2015,14.24,9,The Girl on the Train,"91,557",4.1,Paula Hawkins
9,2015,6.91,10,Adult Coloring Book: Stress Relieving Patterns,"4,257",4.5,Blue Star Coloring
10,2015,9.01,11,Diary of a Wimpy Kid #10: Old School,"14,261",4.8,Jeff Kinney
11,2015,17.36,12,To Kill a Mockingbird,"68,978",4.8,Harper Lee
12,2015,7.99,13,Adult Coloring Book: Stress Relieving Animal Designs,"3,924",4.6,Blue Star Coloring
13,2015,8.49,14,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley Patterns","3,138",4.5,Coloring Books for Adults
14,2015,16.12,15,Humans of New York : Stories,"5,062",4.9,Brandon Stanton
15,2015,10.41,16,The Martian,"51,450",4.7,Andy Weir
16,2015,8.48,17,"Oh, the Places You'll Go!  ","42,931",4.9,Dr. Seuss
17,2015,4.44,18,Knock-Knock Jokes for Kids (Laugh-Out-Loud Jokes for Kids),"5,691",4.5,Rob Elliott
18,2015,5.0,19,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,
19,2015,9.19,20,The Day the Crayons Quit,"19,921",4.8,Drew Daywalt
20,2015,14.15,21,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,"31,151",4.8,Daniel James Brown
21,2015,7.53,22,"Jesus Calling, Padded Hardcover, with Scripture references","31,212",4.9,Sarah Young
22,2015,8.55,23,Mindset: The New Psychology of Success,"13,946",4.6,Carol S. Dweck
23,2015,12.76,24,"Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades Of Grey Series, 4)","37,827",4.5,E L James
24,2015,5.99,25,Creative Haven Creative Cats Coloring Book (Adult Coloring),"5,118",4.8,Marjorie Sarnat
25,2015,10.5,26,How to Win Friends & Influence People,"79,262",4.7,Dale Carnegie
26,2015,7.57,27,The 5 Love Languages: The Secret to Love that Lasts,"69,992",4.8,Gary Chapman
27,2015,11.95,28,Balance (Angie’s Extreme Stress Menders),"2,270",4.6,Angie Grace
28,2015,5.38,29,Creative Haven Owls Coloring Book (Adult Coloring),"5,209",4.7,Marjorie Sarnat
29,2015,19.62,30,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,
0,2016,11.46,1,"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script","43,380",4.3,J.K. Rowling
1,2016,18.29,2,StrengthsFinder 2.0,Gallup,4.1,
2,2016,4.78,3,First 100 Words: A Padded Board Book,"35,271",4.7,Roger Priddy
3,2016,8.32,4,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,
4,2016,8.48,5,"Oh, the Places You'll Go!  ","42,931",4.9,Dr. Seuss
5,2016,14.25,6,Diary of a Wimpy Kid #11: Double Down,"14,048",4.8,Jeff Kinney
6,2016,12.77,7,When Breath Becomes Air,"29,393",4.8,Paul Kalanithi
7,2016,6.9,8,Giraffes Can't Dance,"28,456",4.8,Giles Andreae
8,2016,7.57,9,The 5 Love Languages: The Secret to Love that Lasts,"69,992",4.8,Gary Chapman
